Name,Longitude,Latitude
Linn Grove County Park,-93.196,42.979
Linn Grove Dam Co Park,-95.246,42.895
Little River Rec Area,-93.778,40.768
Little Sioux Park,-95.801,42.45
Little Wall Lake County Park,-93.639,42.277
Littlefield Rec Area,-94.785,41.556
Lost Island Huston Park,-94.891,43.176
Lotts Creek Co Park,-94.202,42.867
Louisa County Fairgrounds,-91.356,41.278
Lower Augusta Skunk River Access,-91.258,40.755
Lyons Park,-95.386,41.318
Mac Coon Access,-91.736,41.051
Mallory Co Park,-93.232,42.663
Manhattan Bridge Access,-92.108,41.239
Manteno Co Park,-95.462,41.855
Mapleton City,-95.787,42.168
Maquoketa Caves State Park,-90.775,42.119
Marble Beach State Rec Area,-95.125,43.469
Margaret Macnider City Park,-93.183,43.158
Marion County Park,-93.119,41.316
Mariposa Co Park,-92.963,41.782
Marlin Fogle Rec Area,-94.349,40.818
Marr Park,-91.579,41.287
Martin Area County Park,-95.472,42.851
Massey Marina,-90.587,42.43
Matsell Bridge Natural Area,-91.382,42.132
Maynard City Park,-91.878,42.778
McFarlane Park,-92.142,42.318
McGowen Rec Area,-92.393,40.75
McIntosh Woods State Park,-93.452,43.127
McKinley Park,-94.382,41.052
Menlo City Park,-94.414,41.525
Meredith Co Park,-94.621,42.907
Miami Lake Park,-92.837,41.12
Middle Amana Park,-91.9,41.798
Middle River Forest Area,-94.281,41.352
Midwest Old Threshers,-91.547,40.952
Mike Macke Memorial Park,-94.762,42.272
Mill Creek Co Park,-95.668,42.984
Miller Riverview City Park,-90.642,42.516
Milroy Access,-92.018,42.195
Minne Estema Park,-92.019,42.259
Minnewashta Lake,-95.129,43.365
Missouri Valley City Park,-95.906,41.557
Moore - Gosch Memorial Park,-93.513,40.602
Moorehead Pioneer County Park,-95.479,42.357
Morgan Creek County Park,-91.76,41.989
Mormon Trail County Park,-94.637,41.24
Morris County Park,-91.8,40.888
Motor Mill Historic Site,-91.351,42.807
Mud Lake County Park,-90.706,42.616
Nations Bridge Co Park,-94.331,41.577
Nelson Park,-95.587,41.936
New Hampton City,-92.303,43.058
New Wine County Park,-91.124,42.536
Nine Eagles State Park,-93.754,40.588
Nishna Bend Rec Area,-95.323,41.568
Nodaway Valley County Park,-94.985,40.761
North Cedar Park,-92.524,42.848
North Overlook - Red Rock Lake,-92.971,41.378
North Woods Park,-92.088,42.866
Oak Grove Co Park,-96.472,43.059
Oak Grove County Park,-96.459,43.062
Oak Park - Dayton,-94.069,42.256
Oakland Mills Park,-91.619,40.935
Ochee Yahola,-93.264,43.481
Ocheyedan Pits Rec Area,-95.535,43.386
Odebolt Memorial Walk RV Park,-95.249,42.308
Oelwein City Park,-91.92,42.648
Olde Towne Co Park,-95.448,41.197
Oldham Rec Area,-95.789,42.008
Oneota Little Sioux Access,-95.122,43.125
Osage Spring City Park,-92.854,43.276
Osborne Conservation Center,-91.444,42.793
Otranto Co Park,-92.98,43.459
Otter Creek Co Park,-93.532,41.246
Otter Creek Lake and Park,-92.52,42.052
Ottumwa City Park,-92.43,41.01
Palisades Kepler State Park,-91.508,41.909
Pammel County Park,-94.076,41.292
Park Terrace - West Lake County Park,-90.687,41.52
Pattee Park,-94.11,41.835
Peters Park - Rodney Pits Rec Area,-95.943,42.2
Pictured Rocks Co Park,-91.106,42.209
Pierce Creek Rec Area,-95.355,40.843
Pikes Peak State Park,-91.165,42.993
Pikes Timber,-93.647,42.783
Pilot Grove Co Park,-95.043,41.146
Pilot Knob State Park,-93.561,43.254
Pin Oak Co Park,-91.435,42.454
Pine Grove - Scott County Park,-90.529,41.715
Pine Lake State Park,-93.078,42.371
Pine Ridge - Steamboat Rock,-93.07,42.413
Pioneer City Park,-95.222,40.744
Pioneer Co Park,-92.68,43.341
Pisgah City Park,-95.93,41.833
Pleasant Creek,-90.38,42.21
Pleasant Creek State Rec Area,-91.814,42.119
Poe Hollow County Park,-94.198,40.711
Pollmiller Park,-91.436,40.714
Pony Creek Co Park,-95.788,41.071
Popejoy Conservation Park,-93.434,42.585
Pottawattamie County Fairgrounds,-95.338,41.471
Prairie Bridges Park,-93.057,42.56
